"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Status","DataType","Value"
"38","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2005,"AbsLBM",6421.64319253128,1000,10000,"Amber","Abs_Abd",6.42164319253128
"39","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2006,"AbsLBM",6603.47435042135,1000,10000,"Amber","Abs_Abd",6.60347435042135
"40","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2007,"AbsLBM",4613.17063196401,1000,10000,"Amber","Abs_Abd",4.61317063196401
"41","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2008,"AbsLBM",3688.73849309099,1000,10000,"Amber","Abs_Abd",3.68873849309099
"42","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2009,"AbsLBM",3312.83723595912,1000,10000,"Amber","Abs_Abd",3.31283723595912
"43","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2010,"AbsLBM",4987.56753659152,1000,10000,"Amber","Abs_Abd",4.98756753659152
"44","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2011,"AbsLBM",10683.5750088744,1000,10000,"Green","Abs_Abd",10.6835750088744
"45","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2012,"AbsLBM",14208.4819461428,1000,10000,"Green","Abs_Abd",14.2084819461428
"46","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2013,"AbsLBM",21227.4120985997,1000,10000,"Green","Abs_Abd",21.2274120985997
"47","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2014,"AbsLBM",22552.7750735541,1000,10000,"Green","Abs_Abd",22.5527750735541
"48","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"AbsLBM",18119.9617591132,1000,10000,"Green","Abs_Abd",18.1199617591132
"49","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"AbsLBM",15877.6587991351,1000,10000,"Green","Abs_Abd",15.8776587991351
"50","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"AbsLBM",9617.77154870914,1000,10000,"Amber","Abs_Abd",9.61777154870914
"51","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"AbsLBM",6398.12267519079,1000,10000,"Amber","Abs_Abd",6.39812267519079
"52","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2019,"AbsLBM",5532.37794793165,1000,10000,"Amber","Abs_Abd",5.53237794793165
"53","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2020,"AbsLBM",5441.58561878816,1000,10000,"Amber","Abs_Abd",5.44158561878816
"54","CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2021,"AbsLBM",8248.89252450251,1000,10000,"Amber","Abs_Abd",8.24889252450251
"55","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1995,"RelLBM",4373.48009874312,5047,18580,"Red","Abs_Abd",0.866550445560357
"56","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1996,"RelLBM",5841.31751507642,5047,18580,"Amber","Abs_Abd",1.15738409254536
"57","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1997,"RelLBM",8269.22695325682,5047,18580,"Amber","Abs_Abd",1.63844401689257
"58","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1998,"RelLBM",8439.03215195701,5047,18580,"Amber","Abs_Abd",1.67208879571171
"59","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1999,"RelLBM",6240.04006780855,5047,18580,"Amber","Abs_Abd",1.23638598529989
"60","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2000,"RelLBM",6942.25744538754,5047,18580,"Amber","Abs_Abd",1.37552158616753
"61","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2001,"RelLBM",7201.05913673889,5047,18580,"Amber","Abs_Abd",1.4267999082106
"62","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2002,"RelLBM",8311.65178675943,5047,18580,"Amber","Abs_Abd",1.64684996765592
"63","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2003,"RelLBM",7702.83560524898,5047,18580,"Amber","Abs_Abd",1.52622064696829
"64","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2004,"RelLBM",4009.29036766521,5047,18580,"Red","Abs_Abd",0.794390800012921
"65","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2005,"RelLBM",3001.86633549093,5047,18580,"Red","Abs_Abd",0.594782313352671
"66","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2006,"RelLBM",1927.0922289153,5047,18580,"Red","Abs_Abd",0.381829250825302
"67","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2007,"RelLBM",1483.19804933128,5047,18580,"Red","Abs_Abd",0.29387716451977
"68","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2008,"RelLBM",1421.7359616771,5047,18580,"Red","Abs_Abd",0.281699219670517
"69","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2009,"RelLBM",1412.86008084696,5047,18580,"Red","Abs_Abd",0.279940574766586
"70","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2010,"RelLBM",2184.79769142453,5047,18580,"Red","Abs_Abd",0.432890368818017
"71","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2011,"RelLBM",2555.45839298013,5047,18580,"Red","Abs_Abd",0.506332156326556
"72","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2012,"RelLBM",1343.03752054602,5047,18580,"Red","Abs_Abd",0.266106106706166
"73","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2013,"RelLBM",1579.17981461111,5047,18580,"Red","Abs_Abd",0.312894752251062
"74","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2014,"RelLBM",1716.02704101389,5047,18580,"Red","Abs_Abd",0.340009320589239
"75","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2015,"RelLBM",1655.61213175876,5047,18580,"Red","Abs_Abd",0.328038861057809
"76","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2016,"RelLBM",2065.75877649436,5047,18580,"Red","Abs_Abd",0.409304294926562
"77","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2017,"RelLBM",1083.40763793375,5047,18580,"Red","Abs_Abd",0.214663688910987
"78","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2018,"RelLBM",1000.39273414402,5047,18580,"Red","Abs_Abd",0.198215322794535
"79","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2019,"RelLBM",275.880235064546,5047,18580,"Red","Abs_Abd",0.0546622221249348
"80","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2020,"RelLBM",343.57866560535,5047,18580,"Red","Abs_Abd",0.0680758204092233
"81","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2021,"RelLBM",646.832503531879,5047,18580,"Red","Abs_Abd",0.128161779974614
"82","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1995,"AbsLBM",4373.48009874312,1000,10000,"Amber","Abs_Abd",4.37348009874312
"83","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1996,"AbsLBM",5841.31751507642,1000,10000,"Amber","Abs_Abd",5.84131751507642
"84","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1997,"AbsLBM",8269.22695325682,1000,10000,"Amber","Abs_Abd",8.26922695325682
"85","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1998,"AbsLBM",8439.03215195701,1000,10000,"Amber","Abs_Abd",8.43903215195701
"86","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",1999,"AbsLBM",6240.04006780855,1000,10000,"Amber","Abs_Abd",6.24004006780855
"87","CU-1","Sockeye","Bowron_ES","SpnForAbd_Wild",2000,"AbsLBM",6942.25744538754,1000,10000,"Amber","Abs_Abd",6.94225744538754
