"Species","Year","SpnForAbd_Total","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","CU_ID","CU_Name","DU_ID","STK_ID","STK_NAME"
"Sockeye",2001,39024,39024,39024,39024,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2002,3560,3560,3560,3560,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2003,17753,17753,17753,17753,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2004,41791,41791,41791,41791,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2005,31260,31260,31260,31260,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2006,20819,20819,20819,20819,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2007,13490,13490,13490,13490,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2008,126972,126972,126972,126972,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2009,64024,64024,64024,64024,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2010,182122,182122,182122,182122,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2011,33692,33692,33692,33692,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2012,101856,101856,101856,101856,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2013,42724,42724,42724,42724,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2014,194755,194755,194755,194755,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2015,24662,24662,24662,24662,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2016,91134,91134,91134,91134,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2017,37029,37029,37029,37029,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2018,72501,72501,72501,72501,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2019,23088,23088,23088,23088,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
"Sockeye",2020,86374,86374,86374,86374,"OkaComplV1","OkanaganComplex-V1",NA,"OkaComplV1","OkanaganComplex-V1"
