"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-04",1977,854,854,"DU3","Lower Fraser River_SP_1.3","LFR-spring",854,854,NA,NA
"Chinook","CK-04",1978,418,418,"DU3","Lower Fraser River_SP_1.3","LFR-spring",418,418,NA,NA
"Chinook","CK-04",1979,470,470,"DU3","Lower Fraser River_SP_1.3","LFR-spring",470,470,NA,NA
"Chinook","CK-04",1980,340,340,"DU3","Lower Fraser River_SP_1.3","LFR-spring",340,340,NA,NA
"Chinook","CK-04",1981,135,135,"DU3","Lower Fraser River_SP_1.3","LFR-spring",135,135,NA,NA
"Chinook","CK-04",1982,846,846,"DU3","Lower Fraser River_SP_1.3","LFR-spring",846,846,NA,NA
"Chinook","CK-04",1983,640,640,"DU3","Lower Fraser River_SP_1.3","LFR-spring",640,640,NA,NA
"Chinook","CK-04",1984,571,571,"DU3","Lower Fraser River_SP_1.3","LFR-spring",571,571,NA,NA
"Chinook","CK-04",1985,218,218,"DU3","Lower Fraser River_SP_1.3","LFR-spring",218,218,NA,NA
"Chinook","CK-04",1986,273,273,"DU3","Lower Fraser River_SP_1.3","LFR-spring",273,273,NA,NA
"Chinook","CK-04",1987,130,130,"DU3","Lower Fraser River_SP_1.3","LFR-spring",130,130,NA,NA
"Chinook","CK-04",1988,147,147,"DU3","Lower Fraser River_SP_1.3","LFR-spring",147,147,NA,NA
"Chinook","CK-04",1989,303,303,"DU3","Lower Fraser River_SP_1.3","LFR-spring",303,303,NA,NA
"Chinook","CK-04",1990,441,441,"DU3","Lower Fraser River_SP_1.3","LFR-spring",441,441,NA,NA
"Chinook","CK-04",1991,273,273,"DU3","Lower Fraser River_SP_1.3","LFR-spring",273,273,NA,NA
"Chinook","CK-04",1992,788,788,"DU3","Lower Fraser River_SP_1.3","LFR-spring",788,788,NA,NA
"Chinook","CK-04",1993,263,263,"DU3","Lower Fraser River_SP_1.3","LFR-spring",263,263,NA,NA
"Chinook","CK-04",1994,379,379,"DU3","Lower Fraser River_SP_1.3","LFR-spring",379,379,NA,NA
"Chinook","CK-04",1995,183,183,"DU3","Lower Fraser River_SP_1.3","LFR-spring",183,183,NA,NA
"Chinook","CK-04",1996,344,344,"DU3","Lower Fraser River_SP_1.3","LFR-spring",344,344,NA,NA
"Chinook","CK-04",1997,634,634,"DU3","Lower Fraser River_SP_1.3","LFR-spring",634,634,NA,NA
"Chinook","CK-04",1998,636,636,"DU3","Lower Fraser River_SP_1.3","LFR-spring",636,636,NA,NA
"Chinook","CK-04",1999,166,166,"DU3","Lower Fraser River_SP_1.3","LFR-spring",166,166,NA,NA
