"","Year","CU_ID","Species","Stock","Metric","Compare","LBM","UBM","Value","Status","Confidence"
"17940",2004,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17941",2005,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17942",2006,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17943",2007,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17944",2008,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17945",2009,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17946",2010,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17947",2011,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17948",2012,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17949",2013,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17950",2014,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17951",2015,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17952",2016,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17953",2017,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17954",2018,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17955",2019,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
"17956",2020,"SEL-06-16","Sockeye","Taseko_ES","RelLBM",NA,NA,NA,NA,NA,NA
